yourlist:M201511262JG3RGOZU1	Entry
1110038D17RIK	D3YY66
1110038D17RIK	D3Z5D9
1110038D17RIK	D6RDT9
1110038D17RIK	D6RI82
1110038D17RIK	F6RDQ0
1110038D17RIK	F6ZAY0
1110038D17RIK	Q05CJ4
1200007D18RIK	Q4FK22
1300007F04RIK	B6DQM2
2010111I01RIK	A0JLQ8
2010111I01RIK	F6SS74
2010111I01RIK	F8WGB2
2010111I01RIK	Q3TIP2
2010111I01RIK	Q3UQZ7
2010111I01RIK	Q80VC3
2010111I01RIK	Q8R2S4
2510005D08RIK	A0A0D2X7Z2
2610019F03RIK	B7ZNJ7
2610019F03RIK	D3YVM3
2810474O19RIK	A0A087WP47
2810474O19RIK	A0A087WP74
2810474O19RIK	A0A087WR65
2810474O19RIK	B2KFD0
2810474O19RIK	B2KFD2
2810474O19RIK	Q8CFR7
4833442J19RIK	B8JKU4
4833442J19RIK	B8JKU6
4833442J19RIK	E9PY99
4833442J19RIK	Q80VP4
4833442J19RIK	Q8BPB7
6330403K07RIK	Q6NSQ3
6330403K07RIK	Q8VBZ2
6330403K07RIK	Q9D3C2
8430427H17RIK	Q3TPB4
8430427H17RIK	Q3TZG8
8430427H17RIK	Q3UH85
8430427H17RIK	Q52KQ8
8430427H17RIK	Q6AXH3
A630001O12RIK	Q3T9L5
AB124611	A0A0B4J1G2
AB124611	G8JL59
AB124611	Z4YNA9
ABCB1A	P21447
ABCB1A	Q3UMH0
ABCB1A	Q9CVG4
ACOT7	E9PYH2
ACOT7	Q91V12
ACPL2	D3YUT4
ACPL2	D3YZM5
ACPL2	D3Z2N0
ACPL2	D3Z7C3
ACPL2	Q8BHA9
ACPP	Q3TQS8
ACPP	Q8CE08
ACSS2	A2AQN4
ACSS2	A2AQN5
ACSS2	D6RHA7
ACSS2	F7CU63
ACSS2	Q8C141
ACSS2	Q8C1A8
ACSS2	Q8N9U3
ACSS2	Q9QXG4
ADAM19	O35674
ADAM19	Q14BL7
ADAM19	Q3UH67
ADAM19	Q3UHT3
ADAM19	Q80UF6
ADAMTS6	D3Z1A5
ADAMTS6	Q8C9R1
ADD3	Q05C56
ADD3	Q05DT0
ADD3	Q3UNK1
ADD3	Q8BJH2
