"Protein.names"	"Gene.names"	"FC"	"pval"	"adjpval"
"PDZ and LIM domain protein 4"	"Pdlim4"	-4.59319749950051	3.60987314287201e-05	0.000243375318342016
"Testis development-related protein"	"Tdrp"	-4.31981176164345	0.000219416568507276	0.000804527417860011
"Protein FAM101B"	"Fam101b"	-3.21916549345776	1.74001467032254e-05	0.000129879666463361
"Alcohol dehydrogenase 1"	"Adh1"	-3.00612865194735	1.39905751416235e-05	0.000119193051667873
"Tyrosine-protein kinase ITK/TSK"	"Itk"	-2.13886963894667	0.00449432443809353	0.00782761506301289
"Citrate lyase subunit beta-like protein, mitochondrial"	"Clybl"	-2.09493598516337	0.00758745780433565	0.0124864463079224
"Protein THEMIS"	"Themis"	-1.99069477249387	9.66351641672481e-07	2.88524990156498e-05
"ALS2 C-terminal-like protein"	"Als2cl"	-1.85300001610631	0.00190032479757517	0.00409451425456918
"DNA-binding protein SATB1"	"Satb1"	-1.74147220749132	0.000385302006836423	0.0012634542293783
"Protein C10"	"Grcc10"	-1.69865055572082	0.00924635999424091	0.0147518262503538
"Methyltransferase-like protein 13"	"Mettl13"	-1.65060982790612	0.0279027224049261	0.0381154835465985
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	"Pdk1"	-1.64590073418334	2.66102574683167e-07	2.7807719054391e-05
"Protein-arginine deiminase type-2"	"Padi2"	-1.63744484237932	0.00440651168958621	0.00780475375528405
"Gelsolin"	"Gsn"	-1.62306087220291	1.32145464833216e-05	0.000119193051667873
"Flotillin-2"	"Flot2"	-1.6042856487523	0.0160665971292885	0.0241576892087863
"Carbonic anhydrase 2"	"Ca2"	-1.5952004175432	0.00775351917246883	0.0125668802498244
"Solute carrier family 12 member 7"	"Slc12a7"	-1.58164918998007	0.00170922168534844	0.00384115411008412
"Cytochrome P450 2S1"	"Cyp2s1"	-1.56941066205386	1.4257542065535e-05	0.000119193051667873
"Creatine kinase B-type"	"Ckb"	-1.56497604192977	4.8464290550444e-05	0.000289401049286937
"Ectonucleoside triphosphate diphosphohydrolase 5"	"Entpd5"	-1.51373577403803	0.0141260239631874	0.0213937609297548
"3(2),5-bisphosphate nucleotidase 1"	"Bpnt1"	-1.5052658995317	0.00306225484455285	0.00598141366833219
"cAMP-dependent protein kinase type II-alpha regulatory subunit"	"Prkar2a"	-1.41778705904278	0.0101150496107998	0.0157764579750534
"Regulator of G-protein signaling 19"	"Rgs19"	-1.40289200252146	0.00543479968736375	0.00916026721499213
"Transcription factor 7"	"Tcf7"	-1.39571977038313	6.59536432006954e-06	7.65478266384053e-05
"Lymphoid enhancer-binding factor 1"	"Lef1"	-1.37234232878103	4.03808926465557e-05	0.000248223722445004
"Alpha-actinin-1"	"Actn1"	-1.3366348516114	2.24234892944734e-06	5.20723251393883e-05
"DENN domain-containing protein 2D"	"Dennd2d"	-1.33038472723997	0.0015558312438118	0.00357328274677654
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"	"Mccc2"	-1.31963860024107	0.00372060830646209	0.00681643217232582
"Isocitrate dehydrogenase [NADP], mitochondrial"	"Idh2"	-1.29422225410881	6.12745753582563e-07	2.88524990156498e-05
"Flotillin-1"	"Flot1"	-1.26094005195147	0.0288437396931075	0.0391450752977887
"Acyl-CoA synthetase family member 2, mitochondrial"	"Acsf2"	-1.23012554923839	2.09823426199439e-05	0.00014950469158017
"Zinc-binding alcohol dehydrogenase domain-containing protein 2"	"Zadh2"	-1.21716532455716	0.0333562631079793	0.0441231581618207
