"M11_R1"	"M11_R2"	"M12_1"	"M12_2"	"M12_3"	"M5"	"M6"	"Expression.Rep1"	"Expression.Rep2"	"Expression.Rep3"	"log2.Ratio.Treg.Tc.Rep1"	"log2.Ratio.Treg.Tc.Rep2"	"log2.Ratio.Treg.Tc.Rep3"	"log2.Ratio.Treg.Tc.Rep4"	"Gene.names"
NA	NA	NA	NA	NA	NA	NA	-4.31544403360453	-3.76713713625854	-3.61602734011961	-4.24929363	NA	-4.7258502	NA	"Pde3b"
-4.4601774801225	-4.2982779788763	-5.9433193145641	-5.7057123781751	-3.5412100992841	-1.5215411053503	-5.1847077489772	-3.1962441854641	-2.53647714810809	-2.68208499727414	NA	NA	NA	NA	"Tdrp"
-3.4041584700109	-4.3563804617347	-6.880404017933	-4.6810184085467	-3.1421911785553	-5.5179873594941	-5.4017532845013	-2.39949326686108	-2.07146933871498	-1.71582940125207	-3.666074843	NA	NA	-1.393197735	"Pdlim4"
-3.3195650234499	-3.1449657568221	-3.8656117741426	-2.1533979610497	-4.8493323926346	-3.1782612488744	-2.9809224016025	-2.16430717581499	-1.81341146109707	-2.13711315245996	-2.378150904	-3.935337845	-1.006692983	-4.904872235	"Fam101b"
-3.7656955300412	-3.1514994110182	-2.5753972625475	-2.1004966227599	-2.9787432291871	-2.6853384772567	-3.8147593288474	-1.90118861334144	-1.6547887545145	-1.38324277601365	NA	-1.773442148	-2.741941515	NA	"Adh1"
0.3207285146426	-1.7888501379115	2.1009147560949	-3.3022411808515	-1.9295324678926	-3.2294763844175	-3.3144401433869	-3.26356277774042	-3.16105868934002	-3.30915581972749	NA	NA	NA	NA	"Dapl1"
-1.7813417970077	-1.7365680497127	-1.9044829073394	-2.4152092878543	-1.8433899531033	-2.2919845846255	-1.961886827814	-2.0636737049683	-1.8327268293906	-1.96807156257313	-2.367203301	-2.097085174	-1.67468662	-2.032742841	"Themis"
-1.9910687261966	-2.9638740902402	-2.718741446028	-1.7286254807419	-2.639141415294	-0.223851561270401	-0.9564220969411	-2.16048742800741	-1.76730255138506	-1.4340023421714	-0.273933569	-1.378531821	-2.250021697	NA	"Als2cl"
-1.2613724662095	-0.592018550598901	-3.818818421484	-1.7138964713681	-3.3575019957808	-2.9839124692396	-1.0043562700297	-1.42404482269967	-0.963152432732852	-1.0527949338592	-0.628820246	-1.848504825	-1.36982938	-1.603226729	"Itk"
-2.2360413151517	-0.412993131470699	-3.2951179341576	-0.977199262498502	-3.0390848595449	-0.196272923167999	-1.9385389505561	NA	NA	NA	NA	-1.222161609	NA	NA	"Ca2"
-1.0408568488661	0.285298862089199	-3.7123866806244	-2.1300178546003	-2.2391890420792	-1.3231617861358	0.4243230218718	-0.413840706032565	-0.164742650948183	-0.342517553628313	-3.984771612	NA	-3.652257022	-2.858724174	"Nme4"
-0.0503974060764989	-1.6810487040626	-4.7502310096106	-1.8076426780674	-2.4894846182507	-2.1243431028657	-1.6704326034173	-1.24612300116691	-0.719097460517255	-0.303697235062552	-1.316435411	-1.529405871	-1.941031169	-1.149280573	"Clybl"
-0.227400445903601	-3.1136305295699	-1.7743453094036	-0.383480580010698	-2.8599739946432	-1.6364511894939	-1.8860670589115	-0.533626359141623	-0.216464667108664	-0.602395376337585	-1.92812393	-2.450399824	NA	-2.834133071	"Padi2"
-1.1483810843865	-1.3704932879082	-1.378894539604	-2.093896080776	-1.121241417603	-2.7729682069766	-2.3044308351848	-1.13907267240512	-0.996442186415038	-1.74407992620323	-1.529820947	-1.30115923	-1.402231009	-1.305396118	"Satb1"
-1.3579392656869	-1.5057014962088	-1.3650928224077	-1.4003212811811	-0.891507120777	-1.7039634993322	-1.5455129070882	-2.06205357773862	-1.37631098891169	-1.41774727291914	-1.313826296	-1.482774707	-1.271724464	-1.488592686	"Tcf7"
-1.9141888374464	-1.1863536616986	-1.3260136409715	-1.9652653087854	-1.3185300171732	-1.7661025377808	-1.8849721015643	-1.28735530592247	-1.36443883022651	-1.07998993674394	-1.588036972	-1.576303514	-0.706994616	-0.856528212	"Gsn"
1.4142874915799	2.8803321418803	3.3528711432818	1.3141793979215	0.8694927115023	0.651770110633301	1.9450468516421	0.659221362909906	0.711308635634167	0.15415871114808	2.913324916	1.126378217	2.71776186	0.762731499	"Fah"
3.5106091001928	1.9060232582041	1.132233401948	1.8237675244544	0.972086769765198	1.9345982990603	1.4995869221959	0.813279179639652	0.894297602975726	0.379842598961635	1.365462489	1.777198757	1.666438873	2.007554336	"Decr1"
1.2835511118957	3.0851824778318	1.340143163691	0.465830130049298	2.3303926609206	1.8560666084231	4.1259264273292	1.04211375319458	1.14108893161877	1.03927103413368	1.251332682	0.642840175	0.849960307	1.281490546	"Crmp1"
0.2033648036806	0.662222807038301	1.8924429090211	1.8564934111059	0.459936756794498	0.745377570893602	5.7226818558071	2.32470870185798	1.47465246119677	0.474568143168634	NA	NA	NA	NA	"S100a6"
NA	NA	NA	NA	NA	NA	NA	0.867688107160379	1.13405841744932	1.52393401486824	NA	2.242572021	2.165207895	NA	"Hk2"
0.179516409708199	-1.2687258982261	3.7282696162887	-0.0331429611470995	0.578650820609198	1.2760158595347	2.7308968782319	1.27564664248702	1.25861022202557	0.913104673493482	3.390789697	1.494364405	4.653010216	2.252203696	"Swap70"
NA	NA	NA	NA	NA	NA	NA	1.66318742181473	1.58179235662895	1.25492796207587	1.205629885	1.662889079	1.937215132	1.987502783	"Ahnak"
-0.122350975257202	0.470850777578303	6.0329869901787	-0.179424113328697	6.0816716343758	2.5353622711581	3.299463358873	-0.0991931396581499	-0.227838145584094	-0.0456281496056949	1.236537433	1.094303642	1.339126132	1.284158746	"Ptms"
2.3526061698114	2.3943856240087	2.8298824935187	1.3404427382416	1.861303142889	1.7347994985409	1.3591143333619	0.877512682645326	1.11870515958725	1.06876921936584	NA	NA	NA	1.40315863	"Trim14"
NA	NA	NA	NA	NA	NA	NA	1.18788046578319	1.36558372976951	0.460226344182382	0.278356109	2.40811401	2.910501849	3.248838402	"Ecm1"
0.863902990976399	2.5186090202857	3.4907518449988	0.3942430850676	3.12698792356	2.2561517678488	0.8446470840511	1.7147536032896	1.09924283246772	1.79579724961623	1.641513713	1.417866014	NA	1.129744606	"Slamf1"
NA	NA	NA	NA	NA	NA	NA	2.13130086142765	1.78357714844088	1.55245594529365	1.432143073	NA	NA	NA	"Ccdc109b"
3.4150866522433	4.148099916887	0.593533660785802	3.7597724252935	0.640490422093499	-0.4027764636039	0.0752345742300982	1.35246804416751	1.42518791024695	1.66711284453604	2.109358756	1.727397723	1.642144006	2.472773683	"Slc2a3"
0.2033648036806	2.3792562403668	1.0279235825778	0.896100323318301	1.1586767163068	2.0527554149996	3.3245179815411	2.61838897732575	1.66274397660741	1.84542226923447	2.33053777	2.633547458	0.518556383	2.40206725	"Cyfip1"
2.041660611076	2.2980653602361	3.2362365905805	2.895424156538	2.2773772286604	0.3850772812531	1.7749687392604	0.794366251802341	1.01079184037016	1.43725149419615	2.222565555	1.489953901	1.535540834	1.922768723	"Snx18"
