"Protein.names"	"Gene.names"	"FC"	"pval"	"adjpval"
"PDZ and LIM domain protein 4"	"Pdlim4"	-4.71020560964442	5.05961893318609e-05	0.000330926427521901
"Testis development-related protein"	"Tdrp"	-4.40402907859718	0.000237440822383406	0.000990701362358347
"Protein FAM101B"	"Fam101b"	-3.30484088857839	3.40257503586253e-05	0.000274474386226244
"Alcohol dehydrogenase 1"	"Adh1"	-3.01145309273162	1.48357453670242e-05	0.0001482180282854
"Tyrosine-protein kinase ITK/TSK"	"Itk"	-2.15995964035011	0.00423124799405015	0.00846249598810031
"Citrate lyase subunit beta-like protein, mitochondrial"	"Clybl"	-2.10822592269722	0.00724586605881699	0.0132840877744978
"Protein THEMIS"	"Themis"	-1.99069477249387	9.66351641672481e-07	3.34081567549629e-05
"Protein C10"	"Grcc10"	-1.90730915500416	0.00886733593638237	0.015778641886798
"ALS2 C-terminal-like protein"	"Als2cl"	-1.9039601214979	0.00183888986259036	0.00449506410855421
"Cytochrome P450 2S1"	"Cyp2s1"	-1.79410476619537	1.80229637080407e-05	0.000155769900619495
"DNA-binding protein SATB1"	"Satb1"	-1.74147220749132	0.000385302006836423	0.00150330291882674
"Methyltransferase-like protein 13"	"Mettl13"	-1.74137348716706	0.0280568232941156	0.0419742945152476
"Protein-arginine deiminase type-2"	"Padi2"	-1.70916302034345	0.00421148372597207	0.00846249598810031
"Solute carrier family 12 member 7"	"Slc12a7"	-1.67864578996699	0.00154738475148562	0.00396327537897321
"Carbonic anhydrase 2"	"Ca2"	-1.67283753902374	0.0083084144028462	0.01500474839917
"Flotillin-2"	"Flot2"	-1.65118206529958	0.0156123719891486	0.0262374584817636
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	"Pdk1"	-1.64590073418334	2.66102574683167e-07	3.21984115366633e-05
"Gelsolin"	"Gsn"	-1.62306087220291	1.32145464833216e-05	0.000139040010824514
"Creatine kinase B-type"	"Ckb"	-1.56497604192977	4.8464290550444e-05	0.000330926427521901
"3(2),5-bisphosphate nucleotidase 1"	"Bpnt1"	-1.52065399424955	0.00337491443376991	0.00729222583010999
"Ectonucleoside triphosphate diphosphohydrolase 5"	"Entpd5"	-1.51967061990875	0.0138774049469518	0.0237554291663255
"cAMP-dependent protein kinase type II-alpha regulatory subunit"	"Prkar2a"	-1.49531622808971	0.0149317413681188	0.0252691007768164
"Regulator of G-protein signaling 19"	"Rgs19"	-1.4603836498417	0.00466466933907191	0.00917764211427156
"Transcription factor 7"	"Tcf7"	-1.39571977038313	6.59536432006954e-06	8.20868335802857e-05
"Lymphoid enhancer-binding factor 1"	"Lef1"	-1.37234232878103	4.03808926465557e-05	0.000287416941778426
"Nucleoside diphosphate kinase, mitochondrial"	"Nme4"	-1.36424669868723	0.0328042824337726	0.0478231105359818
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"	"Mccc2"	-1.34362539453619	0.00431772066307442	0.00856465902019679
"Alpha-actinin-1"	"Actn1"	-1.3366348516114	2.24234892944734e-06	5.82323627472696e-05
"DENN domain-containing protein 2D"	"Dennd2d"	-1.33038472723997	0.0015558312438118	0.00396327537897321
"Flotillin-1"	"Flot1"	-1.32202045026844	0.0309017048066515	0.0455988570927419
"Isocitrate dehydrogenase [NADP], mitochondrial"	"Idh2"	-1.29422225410881	6.12745753582563e-07	3.34081567549629e-05
"Acyl-CoA synthetase family member 2, mitochondrial"	"Acsf2"	-1.23012554923839	2.09823426199439e-05	0.000175094031518153
"Ran-binding protein 10"	"Ranbp10"	-1.21796796144758	0.00604908522665117	0.0113982029976944
"WASH complex subunit 7"	"Kiaa1033"	-1.21264543603375	0.0213182378147829	0.0343934236745165
"Interferon-related developmental regulator 1"	"Ifrd1"	-1.17937321588053	0.00126261512203919	0.00355294022713354
"Inosine-5-monophosphate dehydrogenase 1"	"Impdh1"	-1.147449771971	0.00240039087035434	0.00558552490986298
"Rho guanine nucleotide exchange factor 18"	"Arhgef18"	-1.14660186069604	0.000212603573802056	0.000902632716843816
"Acetyl-coenzyme A synthetase, cytoplasmic"	"Acss2"	-1.11612548952054	0.000830833088490767	0.00261165209248741
"EH domain-containing protein 3"	"Ehd3"	-1.11090495917703	4.11420415086879e-06	7.34616111654195e-05
"DNA-binding protein Ikaros"	"Ikzf1"	-1.08479032402653	0.000208871507867194	0.000902623301854661
"Mitochondrial import inner membrane translocase subunit Tim8 A"	"Timm8a1"	-1.07423380805839	0.02581056618284	0.0395326393433372
"Low density lipoprotein receptor adapter protein 1"	"Ldlrap1"	-1.07041903339596	0.0163834181738707	0.0270244939482081
"Sodium/potassium-transporting ATPase subunit beta-1"	"Atp1b1"	-1.06207383780382	8.76361948026973e-05	0.000432815492699036
"MAP kinase-activating death domain protein"	"Madd"	-1.0458000106488	6.35188165619875e-05	0.00036846148987514
"Stromal interaction molecule 1"	"Stim1"	-1.04390593685109	1.7227290490541e-05	0.000154407566618923
"Dynein light chain Tctex-type 1"	"Dynlt1"	-1.03449392991957	0.0251409187274088	0.0392049626292898
"G protein-coupled receptor kinase 6"	"Grk6"	-1.02892497260508	0.000249303508566143	0.00101377287607056
"Glycerol-3-phosphate dehydrogenase, mitochondrial"	"Gpd2"	-1.02316128664217	8.36789418669637e-06	9.6430018722882e-05
"Eukaryotic initiation factor 4A-II"	"Eif4a2"	-1.00329164542656	3.79941370917249e-05	0.000280459963613105
"Protein phosphatase 1H"	"Ppm1h"	-1.00232269776024	0.0279702955941275	0.0419742945152476
"DNA dC->dU-editing enzyme APOBEC-3"	"Apobec3"	1.01379750836612	0.000552812594183743	0.00191115211132094
"CD48 antigen"	"Cd48"	1.01846468362473	7.41703646091142e-05	0.000392070500361836
"Rho GTPase-activating protein 18"	"Arhgap18"	1.02218271516352	0.0161835097606207	0.0270097197384153
"Axin interactor, dorsalization-associated protein"	"Aida"	1.02410524283419	0.00227420883979025	0.0053432867886334
