yourlist:M201511302JVB080VYT	Entry
Q6PAR3	P97333
Q99LB4	Q99LB4
Q4FK22	Q4FK22
P57016	P57016
Q3UW53	Q3UW53
O09131	O09131
E9QJR4	Q8CFB4
Q8C5P7	Q8C5P7
Q9JJU8	Q9JJU8
P97869	Q9D379
Q8BGW0	Q8BGW0
P16297	P16297
B1ASL6	B1ASL6
Q4FZC9	Q4FZC9
Q8K157	Q8K157
E9QMH0	E9QMH0
E9PVB7	E9PVB7
Q00417	Q00417
P04919	P04919
Q4FJK0	Q4FJK0
P54071	P54071
Q0VEE0	Q0VEE0
Q9D0J8	Q9D0J8
P32037	P32037
Q7TPR4	Q7TPR4
Q9D154	Q9D154
Q8C788	Q8C788
E9Q616	E9Q616
P08207	P08207
E9QM66	E9QM66
Q3UD32	Q3UD32
P70202	P70202
Q3U5E5	Q8BFP9
Q04447	Q04447
Q9WV84	Q9WV84
P24472	P24472
A2AU04	Q61739
Q9QZ85	Q9QZ85
Q9JMG7-2	Q9JMG7
Q9CY45	Q9CY45
A2AQR0	A2AQR0
Q9QUG9	Q9QUG9
Q61409	Q61409
A4QPD3	A4QPD3
E9PV16	E9PV16
Q3UG25	Q3UG25
P10518	P10518
Q99KC8	Q99KC8
Q0VEW4	Q0VEW4
A2APB0	A2APB0
E9PVD8	E9PVD8
P17183	P17183
B1AVH5	B1AVH5
A2A3Z8	A2A3Z8
Q3TJC2	Q3TJC2
Q8R4N0	Q8R4N0
P16546	P16546
Q53Z59	Q53Z59
E9QMN7	E9QMN7
E9Q0K6	E9Q0K6
Q08642	Q08642
P21550	P21550
E9QAX2	E9QAX2
O88673	O88673
Q91Z40	Q91Z40
Q4VA93	Q4VA93
Q62261	Q62261
Q05816	Q05816
B7FAV0	Q8BTM8
A2AH25	A2AH25
B1AQE6	O08900
A0JNY3	A0JNY3
E9PUA9	E9PUA9
Q8K124	Q8K124
B3RH23	P48678
Q9DCE9	Q9DCE9
P11881	P11881
O54890	O54890
P48722	P48722
Q91XB0	Q91XB0
D3Z3K6	D3Z3K6
Q3TBT3-2	Q3TBT3
Q5SWT9	Q5SWT9
Q4FK39	Q4FK39
P42230	P42230
Q8R379	Q8R379
P81117	P81117
Q91V08	Q91V08
B2KGE6	B2KGE6
Q9R0X4	Q9R0X4
Q8R0X9	P50431
Q3UDE2	Q3UDE2
Q99N69	Q99N69
Q3TAL2	Q3TAL2
A2AGQ8	A2AGQ8
Q6VN19	Q6VN19
Q91VH2	Q91VH2
A2A5L8	A2A5L8
P01831	P01831
Q9QYC0	Q9QYC0
Q544K1	Q544K1
B2RSN3	B2RSN3
O08528	O08528
P70302	P70302
A2ATI5	A2ATI5
P61028	P61028
P56528	P56528
Q8BMD8	Q8BMD8
Q91VV4	Q91VV4
Q9D8S4	Q9D8S4
O08709	O08709
A2A841	A2A841
P62748	P62748
E9Q7W6	E9Q7W6
Q3TBC6	P97369
P54923	P54923
Q9Z282	Q9Z282
P21995	P21995
E9QMH1	E9QMH1
Q9D6Y7	Q9D6Y7
Q9Z0S1	Q9Z0S1
E9QP98	E9QP98
Q6P1J1	Q6P1J1
P84444	P84444
P56395	P56395
Q8VCW8	Q8VCW8
Q543K2	Q543K2
B2RX73	Q8BYY4
P26187	P26187
B2RRQ6	P25799
Q8R502	Q8R502
Q6ZQ77	Q6ZQ77
Q8CHP4	Q8CHP4
Q9ES74	Q9ES74
A2AQN4	A2AQN4
P52760	P52760
Q9D4W6	Q9D4W6
P42232	P42232
Q3UNK1	Q3UNK1
A6PWE2	A6PWE2
P24527	P24527
P23772	P23772
A2APM2	A2APM2
O89100	O89100
A2AL35	A2AL35
Q00196-5	Q00196
Q91XH4	O88587
Q3U4X8	Q3U4X8
Q3V3V9,Q3V3V9-2	Q3V3V9
Q9QXY6	Q9QXY6
Q9WTI7-3	Q9WTI7
Q80VW7	Q80VW7
Q7TMI3	Q7TMI3
Q8BGM2	Q9Z110
P13597	P13597
E9QK59	Q6P9R4
Q8C0L6	Q8C0L6
Q80U16	Q80U16
Q4QQM4	Q4QQM4
Q3UKS3	Q3UKS3
P37217	P37217
E9Q4M2	E9Q4M2
Q6A028	Q6A028
O70400	O70400
P97864	P97864
Q9Z0I7	Q9Z0I7
E9PVY4	E9PVY4
A2AWH9	A2AWH9
Q8CIS0	Q8CIS0
P36552	P36552
Q149F5	Q149F5
B0QZU7	Q3UMW7
B1AUN4	B1AUN4
Q9Z0H8	Q9Z0H8
Q924N4	Q924N4
Q9CPY7	Q9CPY7
P14094	P14094
Q8K337	Q8K337
Q8K296	Q8K296
Q91V61	Q91V61
Q5XK32	Q61263
Q8BU33	Q8BU33
Q03963	Q03963
O70404	O70404
Q69ZY2	Q69ZY2
P31266	P31266
P18181	P18181
Q0VGT5	Q0VGT5
B2RVP5	B2RVP5
Q99KQ4	Q99KQ4
Q3ULW8	Q3ULW8
E9QA63	E9QA63
Q9CZ42	Q9CZ42
Q62422	Q62422
P16045	P16045
D3YY34	D3YY34
Q504M6	Q504M6
P17918	P17918
Q8BKH7	Q8BKH7
Q8VI93	Q8VI93
Q9D1A2	Q9D1A2
Q7TMB8	Q7TMB8
Q60866	Q60866
Q8C1A5	Q8C1A5
Q8BH59	Q8BH59
Q8C6Y2	Q8C6Y2
E9PY16	E9PY16
A2AUF6	A2AUF6
Q8C0K8	Q8K245
Q3TGR2	Q3TGR2
Q62086	Q62086
Q6IRU2	Q6IRU2
P97429	P97429
Q9D8V7	Q9D8V7
A6H659	A6H659
P27782	P27782
A2AD85	A2AD85
E9QLW9	Q60949
Q8K4X7	Q8K4X7
Q920A5	Q920A5
Q9CPN8	Q9CPN8
Q8VCX5-2	Q8VCX5
Q9WTP7	Q9WTP7
Q9JHW4	Q9JHW4
Q3USD5	Q3USD5
Q9WVA4	Q9WVA4
P19182	P19182
Q6DID7	Q6DID7
E9Q1T1	E9Q1T1
Q8VCG1	Q8VCG1
E9PYH2	E9PYH2
Q3UQ84	Q3UQ84
O89110	O89110
E9QL86	Q9JLQ0
P10605	P10605
P01901	P01901
E9QB05	E9QB05
P00329	P00329
Q3UZ64	Q3UZ64
E9Q5W3	E9Q5W3
O88351	O88351
Q3TQC7	Q3TQC7
B2KF04	B2KF04
Q05BA5	Q05BA5
B2KG58	B2KG58
P09450	P09450
O54916	O54916
O08804	O08804
Q3TU79	Q3TU79
B1B1B4	B1B1B4
Q9CZN7	Q9CZN7
Q3UHD9	Q3UHD9
Q3UMJ4	Q3UMJ4
Q76LV0	Q76LV0
B9EIV8	B9EIV8
P29391	P29391
P97855	P97855
Q3U7R1	Q3U7R1
Q9JI78	Q9JI78
Q9QXT0	Q9QXT0
Q8R2Y0	Q8R2Y0
Q0P5W9	Q0P5W9
O35215	O35215
P13379	P13379
P40142	P40142
Q3UJ95	Q3UJ95
P42128	P42128
Q5SVD0	Q5SVD0
Q68FG2	Q68FG2
O88667	O88667
Q790I0	Q790I0
B2RXY7	B2RXY7
Q14AZ9	Q14AZ9
Q8BJ64	Q8BJ64
E9Q4K7	E9Q4K7
Q3U2S8	Q3U2S8
E9Q1P4	E9Q1P4
Q8CBE3	Q8CBE3
Q922B1	Q922B1
Q3V2E3	Q3V2E3
A2ATN4	A2ATN4
Q99N50	Q99N50
P39428	P39428
P62340	P62340
P47856	P47856
Q8BH04	Q8BH04
Q3U5Q5	Q61508
Q64311	Q64311
P05202	P05202
B2RUE8	B2RUE8
Q9CWY8	Q9CWY8
B1AX52	Q64133
A2ASZ0	A2ASZ0
Q571I9	Q571I9
Q80ZQ9	Q80ZQ9
P41272	P41272
P70290	P70290
