yourlist:M2015113099G02LBX6Z	Entry
0610010K14RIK	A2CF80
0610010K14RIK	A2CF83
0610010K14RIK	D3Z687
0610010K14RIK	F6S0D5
0610010K14RIK	F6XN97
0610010K14RIK	F8WH46
0610010K14RIK	H3BJI0
0610011F06RIK	D3YZM4
0610011F06RIK	E9Q5B2
0610011F06RIK	E9Q7K5
0610011F06RIK	G5E8X1
0610011L14RIK	B7ZD24
0610011L14RIK	B7ZD25
0610011L14RIK	Q8C161
0610037L13RIK	A2A8E2
0610037L13RIK	A2A8E4
0610037L13RIK	B7ZC71
0610037L13RIK	B7ZC72
0610037L13RIK	B7ZC73
0610037L13RIK	D6REH4
1110007C09RIK	B2RV71
1110007C09RIK	Q80VN1
1110059G10RIK	D3YWR8
1110059G10RIK	Q571N2
1200014J11RIK	Q3TLD7
1200014J11RIK	Q7TPS9
1300018J18RIK	A4FUU9
1300018J18RIK	B9EJ24
1300018J18RIK	S4R1U9
1600027N09RIK	Q2NL54
1700081L11RIK	A2A5Y4
1700081L11RIK	B1AQV9
1700081L11RIK	Q3TB76
1810008A18RIK	Q3TVF6
1810008A18RIK	Q8C2N1
1810008A18RIK	Q8C660
1810009A15RIK	A0A087WQJ5
1810009A15RIK	Q9CSS6
1810020D17RIK	D3YWY5
1810020D17RIK	D3YX09
1810020D17RIK	D3YY39
1810020D17RIK	D3YZD8
1810020D17RIK	D3Z1Q3
1810020D17RIK	D3Z442
1810020D17RIK	D6RJJ4
1810020D17RIK	D6RJK8
1810020D17RIK	Q8CF11
1810030O07RIK	A2BDN9
2210010C04RIK	Q9CPN9
2210010C04RIK	Q9D7Y7
2410018M08RIK	B2RPU8
2410018M08RIK	D3Z5B1
2410018M08RIK	Q8CEW7
2410091C18RIK	A2VCR6
2410091C18RIK	Q78HN8
2510012J08RIK	A1L013
2700007P21RIK	Q8BYU1
2700060E02RIK	Q4VA29
2900064A13RIK	Q14C26
2900064A13RIK	Q91VV9
2900073G15RIK	Q6ZWQ9
2900073G15RIK	Q922W7
2900073G15RIK	Q9CXD2
2900073G15RIK	Q9D6E6
3110002H16RIK	F6RDF1
3110002H16RIK	F6X2I0
3110002H16RIK	Q3TWH4
3110002H16RIK	Q3U4H5
3110002H16RIK	Q3UMX3
3110003A17RIK	E9QMV2
4632428N05RIK	A3RLQ7
4632428N05RIK	D3Z7B7
4632428N05RIK	E9PUF5
4632428N05RIK	E9Q251
4933407H18RIK	E9PZL9
5133401N09RIK	D3Z4J6
8030462N17RIK	Q0VAW6
9030617O03RIK	D6RI81
9030617O03RIK	E9QMK9
9030617O03RIK	F7CUW7
9030617O03RIK	Q3U7K4
9030624J02RIK	D3YW19
9030624J02RIK	D3YW20
9030624J02RIK	F6RR19
9030624J02RIK	H3BJE8
9030624J02RIK	I1E4X5
9030624J02RIK	Q9D0B4
A2M	Q61838
A2M	Q6GQT1
A430005L14RIK	A0A0A0MQL2
A430005L14RIK	D6RH81
A430005L14RIK	E9PUH0
AA960436	D3Z5I2
AA987161	Q80VN4
AAAS	P58742
AAAS	Q3TEP0
AAAS	Q8BU75
AAAS	Q8R3F7
AACS	Q8K3J7
AACS	Q9D2R0
AAK1	Q3UHJ0
AAMP	A0A087WNM5
AAMP	A0A087WR11
AAMP	J3QN89
AAMP	Q3TJ22
AAMP	Q3U9F0
AAMP	Q3UJF9
AAMP	Q8K2C1
AARS	Q3TZ32
AARS	Q3UD67
AARS	Q6PDM7
AARS	Q6XMP4
AARS	Q8BGQ7
AARS	Q8R346
AARSD1	Q3THG9
AASDHPPT	Q05C25
AASDHPPT	Q9CQF6
AATF	Q3URN5
AATF	Q9JKX4
ABCB1A	P21447
ABCB1A	Q3UMH0
ABCB1A	Q9CVG4
ABCB1B	A0A0G2JF49
ABCB1B	A0A0G2JGL4
ABCB1B	B2RUR3
ABCB1B	P06795
ABCB7	Q61102
ABCC1	A5D6P3
ABCC1	D3YYJ6
ABCC1	D3YZY1
ABCC1	D3Z407
ABCC1	E9Q1I5
ABCC1	O35379
ABCC1	Q3UDM1
ABCC1	Q8BRD0
ABCC1	Q8C7V6
ABCC1	Q9JL41
ABCD1	A2ALN0
ABCD1	O88430
ABCD1	P48410
ABCE1	P61222
ABCE1	Q3TIU8
ABCE1	Q3TJM9
ABCE1	Q3UHY8
ABCE1	Q6NXX7
ABCE1	Q8C2N8
ABCF1	A1A4B8
ABCF1	G3UYI0
ABCF1	G3V012
ABCF1	Q3U6P1
ABCF1	Q5RL55
ABCF1	Q6P542
ABCF1	Q99K92
ABCF1	Q9JL47
ABCF2	Q3UVI9
ABCF2	Q99LE6
ABCF3	Q8K268
ABCG1	Q0VDW9
ABCG1	Q64343
ABCG3	D3Z0Z4
ABCG3	Q99P81
ABHD11	A0A0J9YU40
ABHD11	A0A0J9YUT1
ABHD11	A0A0J9YV94
ABHD11	A0A0J9YVC2
ABHD11	D3YYK0
ABHD11	Q8K4F5
ABHD12	D6RFU2
ABHD12	D6RI21
ABHD12	F7BHM8
ABHD12	Q99LR1
ABHD14B	A0A087WP24
ABHD14B	A0A087WPF8
ABHD14B	A0A087WQN8
ABHD14B	A0A087WRJ2
ABHD14B	A0A087WSR2
ABHD14B	E9QN99
ABHD14B	Q8VCR7
ABHD15	B6DQM2
ABHD15	F6YMW3
ABHD15	F7C9J3
ABHD15	Q3V3H9
ABHD15	Q5F2F2
ABHD16A	G3UX11
ABHD16A	Q9Z1Q2
ABHD6	Q8R2Y0
ABHD6	Q9D375
ABI1	B7ZCU0
ABI1	B7ZCU2
ABI1	B7ZCU3
ABI1	B7ZCU4
ABI1	B7ZCU5
ABI1	J3QNK8
ABI1	Q3TJ64
ABI1	Q3TJR5
