From	To
Q99LB4	Capg
Q4FK22	Ergic1
P57016	Lad1
Q3UW53	Fam129a
O09131	Gsto1
Q8C5P7	Tdrp
Q9JJU8	Sh3bgrl
Q8BGW0	Themis
P16297	Il2rb
B1ASL6	Tnfrsf18
Q4FZC9	Syne3
Q8K157	Galm
E9PVB7	Satb1
Q00417	Tcf7
P04919	Slc4a1
Q4FJK0	Decr1
P54071	Idh2
Q0VEE0	Nt5e
Q9D0J8	Ptms
P32037	Slc2a3
Q7TPR4	Actn1
Q9D154	Serpinb1a
Q8C788	Snx18
E9Q616	Ahnak
P08207	S100a10
Q3UD32	Ctss
P70202	Lxn
Q04447	Ckb
Q9WV84	Nme4
P24472	Gsta4
Q9QZ85	Iigp1
Q9CY45	N6amt2
Q3V3V9	Carmil2
A2AQR0	Gpd2
Q9QUG9	Rasgrp2
Q61409	Pde3b
A4QPD3	Rel
Q3UG25	Nfkb2
P10518	Alad
Q99KC8	Vwa5a
Q0VEW4	Plp2
P17183	Eno2
B1AVH5	Coro2a
Q3TJC2	Pafah1b3
Q8R4N0	Clybl
P16546	Sptan1
Q53Z59	Foxp3
E9Q0K6	Samhd1
Q08642	Padi2
P21550	Eno3
E9QAX2	Myo18a
O88673	Dgka
Q91Z40	Gbp7
Q4VA93	Prkca
Q62261	Sptbn1
Q05816	Fabp5
A2AH25	Arhgap1
A0JNY3	Gphn
Q8K124	Plekho2
Q9DCE9	Igtp
P11881	Itpr1
O54890	Itgb3
P48722	Hspa4l
Q91XB0	Trex1
Q5SWT9	Ikzf1
Q4FK39	Isg20
P42230	Stat5a
Q8R379	Gimap7
P81117	Nucb2
Q91V08	Clec2d
Q9R0X4	Acot9
Q3UDE2	Ttll12
Q99N69	Lpxn
Q3TAL2	Scamp2
A2AGQ8	Madd
Q6VN19	Ranbp10
Q91VH2	Snx9
P01831	Thy1
Q9QYC0	Add1
Q544K1	Slamf1
B2RSN3	Tubb2b
O08528	Hk2
P70302	Stim1
P61028	Rab8b
P56528	Cd38
Q8BMD8	Slc25a24
Q91VV4	Dennd2d
Q9D8S4	Rexo2
O08709	Prdx6
A2A841	Epb41
P62748	Hpcal1
P54923	Adprh
Q9Z282	Gpr132
P21995	Emb
E9QMH1	Apobec3
Q9D6Y7	Msra
Q9Z0S1	Bpnt1
Q6P1J1	Crmp1
P84444	Ccl21a
P56395	Cyb5a
Q8VCW8	Acsf2
Q543K2	Ccs
P26187	Mgmt
Q8R502	Lrrc8c
Q6ZQ77	Hip1r
Q8CHP4	P2rx7
Q9ES74	Nek7
A2AQN4	Acss2
P52760	Hrsp12
Q9D4W6	Samsn1
P42232	Stat5b
Q3UNK1	Add3
P24527	Lta4h
P23772	Gata3
A2APM2	Cd44
O89100	Grap2
Q3U4X8	Lig1
Q9QXY6	Ehd3
Q80VW7	Akna
