Probe Set ID	Gene Title	Gene Symbol	Probe Position	NCBI	NCBI	Cluster	Correlation to FoxP3	TregSig	IL2ActnoFox	IL2Act	Act	TGFnoFox	TGF	FOXP3rv	ActCD4	ActCD4TGF	ActTreg	ActTregTGF	CTRLrv	FOXP3rv	Ctrlrv	Foxp3rv	sfActCD4	sfActCD4TGF	wtActCD4	wtActCD4TGF	ActCD8	ActCD8TGF	TconvThy	TregThy	TconvLN	TregLN	TconvSpN	TregSpN	TconvSpB	TregSpB	CD4AND	ActCD4AND		TregSig	Fold change of (TregLN, TregSpN, TregSpB)/(TconvLN, TconvSpN, TconvSpB)
1420765_a_at	forkhead box P3	Foxp3	chrX:5868671-5884271 (+) // 97.92 // qA1.1	20371	20371	1	1.00	36.2	0.7	1.3	0.6	1.5	10.1	1.1	109	838	590	798	91	99	106	95	37	55	58	585	40	136	33	774	44	901	52	1864	45	1796	41	24		IL2ActnoFoxp3	Fold change of sfActCD4/TconvSpN
1446167_at	Homeodomain interacting protein kinase 2	Hipk2	chr6:38712249-38712941 (-) // 21.82 // qB1	15258	15258	1	0.89	2.7	0.8	0.7	0.4	0.7	1.3	1.4	91	213	179	245	73	104	92	114	145	98	127	160	98	122	64	130	122	215	184	491	171	354	94	35		IL2Act	Fold change of wtActCD4/TconvSpN
1438274_at	zinc finger protein, subfamily 1A, 4 (Eos)	Zfpn1a4	chr10:128759485-128760369 (-) // 96.97 // qD3	22781	22781	1	0.89	7.6	2.3	2.5	0.2	1.4	2.6	1.2	177	661	356	872	140	165	115	129	286	394	253	644	111	272	131	625	112	623	123	931	103	743	226	53		Act	Fold change of ActCD4AND/CD4AND
1435787_at	protein phosphatase 1 (formerly 2C)-like	Ppm1l	chr3:69900186-69901226 (+) // 99.23 // qE1	242083	242083	1	0.87	2.5	0.3	1.0	0.7	0.9	2.1	1.3	208	335	532	764	173	229	208	251	116	109	142	292	186	283	189	357	128	435	355	900	144	744	96	62		TGFnoFoxp3	Fold change of sfActCD4TGF/TconvSpN
1437637_at	putative homeodomain transcription factor 2	Phtf2	chr5:19139276-19140627 (-) // 93.93 // qA3	68770	68770	1	0.87	2.8	1.1	1.4	1.1	1.2	1.1	1.4	100	121	203	153	87	117	76	94	98	118	115	127	47	50	71	119	68	165	89	249	82	266	48	53		TGF	Fold change of wtActCD4TGF/TconvSpN
1439569_at	G protein-coupled receptor 83	Gpr83	chr9:14705977-14706759 (+) // 98.36 // qA2	---	---	1	0.87	8.6	0.6	1.9	0.2	1.6	3.9	2.8	462	1458	2212	2252	439	1235	351	641	215	344	398	1543	86	107	889	3137	182	1575	362	3119	211	2508	287	61		FOXP3rv	Fold change of FOXP3rv/CTRLrv
1415874_at	sprouty homolog 1 (Drosophila)	Spry1	chr3:37441675-37446337 (+) // 93.25 // qB	24063	24063	1	0.86	4.0	0.5	0.9	1.1	1.0	1.3	1.2	228	323	240	247	172	209	196	173	127	132	138	175	125	127	118	227	153	284	237	953	155	537	120	131			
1448613_at	extracellular matrix protein 1	Ecm1	chr3:95728929-95734349 (-) // 96.44 // qF2.1	13601	13601	1	0.85	2.9	1.0	0.6	0.8	0.7	1.5	1.2	106	100	190	192	86	100	73	90	71	50	55	81	39	48	44	148	63	126	74	217	91	326	58	44			
1424780_a_at	DNA segment, Chr 10, University of California at Los Angeles 1	D10Ucla1	chr10:66768164-66853901 (-) // 75.11 // qB5.1	28193	28193	1	0.85	1.7	0.7	0.8	0.9	1.5	1.6	0.9	881	1207	1736	1319	959	874	753	1073	791	1158	922	1492	1089	1334	621	1662	956	2307	1207	2084	1185	2440	739	678			
1426889_at	RIKEN cDNA 4930566A11 gene	4930566A11Rik	chr8:109020651-109040235 (+) // 94.63 // qD3	75871	75871	1	0.84	2.1	1.0	1.3	0.7	1.0	0.9	1.3	59	75	64	57	53	68	55	51	54	53	59	55	62	59	68	83	43	66	55	117	44	94	66	45			
1423415_at	G protein-coupled receptor 83	Gpr83	chr9:14696179-14705469 (+) // 97.7 // qA2	14608	14608	1	0.83	6.8	0.6	1.4	0.4	1.4	3.9	2.8	305	1006	1202	1368	267	752	237	342	138	192	231	892	71	105	468	1638	120	739	234	1583	162	1234	214	85			
1425470_at	---	---	---	---	---	1	0.82	22.5	1.5	3.3	0.8	3.7	3.0	1.1	360	420	740	690	364	411	288	324	123	453	92	273	502	985	30	620	176	1741	85	1907	28	1488	16	13			
1424781_at	DNA segment, Chr 10, University of California at Los Angeles 1	D10Ucla1	chr10:66768164-66853901 (-) // 75.11 // qB5.1	28193	28193	1	0.81	1.6	0.8	0.8	1.1	1.3	1.6	0.9	568	642	982	784	549	511	535	625	496	665	549	899	545	670	375	818	526	1175	636	983	668	1533	289	314			
1434591_at	RIKEN cDNA 4732460K03 gene	4732460K03Rik	chr6:48445713-48446808 (+) // 86.56 // qB2.3	58894	58894	1	0.81	1.6	0.8	1.1	0.7	1.0	1.1	1.1	97	99	123	111	97	103	91	107	107	105	106	117	87	85	86	118	88	143	132	208	101	195	49	36			
1425471_x_at	---	---	---	---	---	1	0.80	11.2	1.1	1.3	1.0	2.7	2.3	1.1	369	411	769	695	402	429	345	373	171	469	129	289	584	1075	60	557	221	1387	158	1774	98	1394	23	24			
1428284_at	RIKEN cDNA 8430427H17 gene	8430427H17Rik	chr2:153470810-153473792 (-) // 99.43 // qH1	329540	329540	1	0.80	5.4	1.8	3.2	0.5	0.7	1.3	1.4	143	342	319	462	170	234	167	197	180	133	194	260	118	114	104	430	60	289	103	552	62	343	100	51			
1418084_at	neuropilin 1	Nrp1	chr8:127780345-127926905 (+) // 96.14 // qE2	18186	18186	1	0.79	7.0	0.3	0.8	5.2	1.5	7.9	1.5	610	2468	913	2010	441	656	599	684	74	112	168	1317	263	179	88	949	429	2939	285	1990	201	1793	195	1010			
