Probe Set ID;Gene Title;Gene Symbol;Probe Position;NCBI;NCBI;Cluster;Correlation to FoxP3;TregSig;IL2ActnoFox;IL2Act;Act;TGFnoFox;TGF;FOXP3rv;ActCD4;ActCD4TGF;ActTreg;ActTregTGF;CTRLrv;FOXP3rv;Ctrlrv;Foxp3rv;sfActCD4;sfActCD4TGF;wtActCD4;wtActCD4TGF;ActCD8;ActCD8TGF;TconvThy;TregThy;TconvLN;TregLN;TconvSpN;TregSpN;TconvSpB;TregSpB;CD4AND;ActCD4AND
1420692_at;interleukin 2 receptor| alpha chain;Il2ra;chr2:11593911-11644298 (+) // 62.11 // qA1;16184;16184;4;0.304220311;47.08;73.51;82.64;1.89;0.6;0.93;1.67;2421.1;2949.3;3351.9;2323.4;1788.8;2985;1200.7;1824.3;2497.2;1503.8;2815.7;2620.9;736.9;1237.5;37.9;1427.7;34.4;1341.7;34;1599.2;34.1;1592.1;26.7;50.6
1420765_a_at;forkhead box P3;Foxp3;chrX:5868671-5884271 (+) // 97.92 // qA1.1;20371;20371;1;1;36.22;0.73;1.28;0.58;1.47;10.13;1.08;109.3;837.9;589.8;798.3;91.3;98.5;106.1;95.4;37.4;55.2;57.8;585.3;40.3;136.3;32.6;773.6;44.4;901.4;51.5;1864.3;45;1795.8;41;23.9
1439794_at;---;---;chr10:93518996-93519847 (+) // 80.93 // qC2;---;---;6;0.666579792;31.71;0.61;0.95;0.69;1.1;1.45;1;20.1;26.3;26.5;128.8;20.1;20;20.1;20.4;20.3;22.3;20;28.9;21.9;24.1;44;585.9;20;52.3;33.4;1060.1;21.1;171.1;29.6;20.4
1425470_at;---;---;---;---;---;1;0.815148943;22.46;1.45;3.3;0.84;3.67;2.97;1.13;360.3;419.5;739.5;690.1;363.9;410.7;287.6;324;123.3;452.8;91.9;273.1;501.6;985;30.2;619.9;176.3;1740.8;84.9;1906.8;27.9;1487.8;15.8;13.2
1426208_x_at;pleiomorphic adenoma gene-like 1;Plagl1;chr10:12801613-12842473 (+) // 84.05 // qA1;22634;22634;6;0.772455526;19.69;3.45;9.45;0.6;0.8;2.28;1.92;121.3;348.7;1333.9;786.6;112.7;216.6;93.8;112.5;306.6;244.8;610.5;1393.8;51.7;59.2;63.9;1186.3;265.4;2326.2;89;1752.2;64.6;1452.1;170.1;101.9
1436223_at;integrin beta 8;Itgb8;chr12:114193903-114194825 (-) // 94.66 // qF2;---;---;6;0.570674744;19.5;1;1;0.97;1;1;1;20;20;21.3;26.5;20;20;20;20;20;20;20;20;20;20;20;254.5;99;923.9;20;390;20;314;10.6;10.3
1418507_s_at;suppressor of cytokine signaling 2;Socs2;chr10:95187113-95191121 (-) // 93.94 // qC2;103250;103250;4;0.182556886;19.18;43.54;54.5;1.27;0.96;1.64;1.65;1361.4;2106.3;2632.3;2100.1;1164;1918.2;708.3;1121.8;870.8;834.4;1144.5;1877.4;418;353.8;20;483.4;20;352.7;20;383.7;21;342.4;14;17.8
1438466_at;dynein| axonemal| heavy chain 12 /// dynein| axonemal| heavy chain 7b /// dynein heavy chain-related;Dnahc12 /// Dnahc7b /// LOC433299;chr1:46704340-46734148 (+) // 89.42 // qC1.1 /// chr1;110083;110083;4;0.520579955;17.55;1.54;2.56;1.03;2.25;8.86;2.74;115.7;688.2;900.7;909.4;62.1;169.9;31.8;34.2;40.9;92.1;89.6;794.1;31.6;42.1;28.9;96.8;31.2;293.9;26.6;466.3;35;163.5;20.3;20.9
1449109_at;suppressor of cytokine signaling 2;Socs2;chr10:95187113-95191121 (-) // 93.94 // qC2;216233;216233;4;0.162143725;14.81;32.47;67.17;1.04;1.05;1.71;1.7;1952.1;3232.8;3448.2;2991.7;1624.9;2758.3;1058.8;1550.8;1181.9;1245;1681.2;2881.3;597.4;606.6;25.3;611;28.2;540.6;36.4;539.1;25;468.9;38;39.5
1428834_at;dual specificity phosphatase 4;Dusp4;chr8:33779222-33781381 (+) // 92.63 // qA4;319520;319520;5;0.367263396;12.32;16.68;23.74;1.84;1.44;1.27;2.18;80.6;408.4;767.1;933.8;67.1;146.3;48.2;65.8;732.9;1057.6;672;856.1;190;90.5;98.2;1580;73.7;580.2;43.9;541.2;28.3;390.1;119.3;219.5
